hash,date,hour,author,type,area,subject
a03702c57,2026-03-08,1,Endy Muhardin,fix,test,fix: use verifyMinimumEmployeeCount to avoid shared context interference
77a971297,2026-03-07,23,Endy Muhardin,docs,docs,docs: Phase 16 — revamp AI manual to cover full application lifecycle
e29ce499a,2026-03-07,22,Endy Muhardin,fix,test,fix: resolve 4 transaction API bugs (BUG-001 through BUG-004)
5db1a8ab3,2026-03-07,22,Endy Muhardin,feat,main-java,feat: Phase 15 — Payroll API + PPh 21 / 1721-A1
895d4d8d9,2026-03-07,21,Endy Muhardin,feat,test,feat: Phase 14 — Fiscal Adjustments CRUD API
35b015125,2026-02-26,18,Endy Muhardin,release,docs,release: 2026.02.5-RELEASE (Phase 12 + Phase 13 complete)
ab64ae510,2026-02-26,17,Endy Muhardin,docs,docs,docs: update implementation plan — Phase 12 and 13 complete
7a2d01fdd,2026-02-26,17,Endy Muhardin,fix,test,fix: hide MVC controllers from OpenAPI spec with @Hidden
17bdfd626,2026-02-26,16,Endy Muhardin,other,main-java,revert: remove unnecessary WebSecurityCustomizer for OpenAPI endpoints
c51bfbeb3,2026-02-26,15,Endy Muhardin,fix,main-java,fix: use WebSecurityCustomizer to fully bypass security for OpenAPI endpoints
8965bc19a,2026-02-26,15,Endy Muhardin,feat,frontend,feat: complete Phase 13 — OpenAPI migration (replace capabilities.json with springdoc-openapi)
1c7e6180b,2026-02-26,11,Endy Muhardin,feat,main-java,feat: complete Phase 12 — tax export API (12.10) and PPN docs update (12.11)
a460be94f,2026-02-26,5,Endy Muhardin,docs,docs,docs: add 12.10 tax export API details and 12.11 PPN docs update
9cc240a10,2026-02-26,5,Endy Muhardin,docs,docs,"docs: complete Phase 12.9 verification, add 12.10 tax export API"
2369382be,2026-02-26,5,Endy Muhardin,docs,docs,docs: update Phase 12.9 — step 4 (tax details + FP PDFs) completed
2a1c8f5cd,2026-02-26,4,Endy Muhardin,docs,docs,docs: update Phase 12.9 status — steps 1-3 verified on production
6858d04ce,2026-02-26,4,Endy Muhardin,fix,main-java,fix: accept 16-digit Coretax NPWP format in Client entity
20be2902c,2026-02-25,21,Endy Muhardin,chore,build-other,chore: add Phase 12.9 retrofit 2025 data scripts
b4922a4d6,2026-02-25,18,Endy Muhardin,fix,migrations,fix: remove dead UPDATE from V004 migration
e98aa1188,2026-02-25,18,Endy Muhardin,docs,docs,docs: add user manual for client management and fiscal period management (Phase 12.5/12.6)
f7c5eaa53,2026-02-25,16,Endy Muhardin,feat,seed-data,feat: update tax payment deadlines from 10th to 15th per PMK 81/2024 (Phase 12.8)
28ba25197,2026-02-25,15,Endy Muhardin,feat,main-java,"feat: add tax report detail pages with PPN/PPh23 breakdown, crosscheck, and rekonsiliasi fiskal (Phase 12.7)"
9454d6d29,2026-02-25,13,Endy Muhardin,feat,test,feat: complete fiscal period management with posting guards and sidebar link (Phase 12.6)
c7e253967,2026-02-25,12,Endy Muhardin,feat,templates,"feat: complete client management UI with invoices, tax summary, and NPWP validation (Phase 12.5)"
d7f9f7bae,2026-02-25,10,Endy Muhardin,docs,docs,docs: mark Phase 10 and 11 sub-items as complete in implementation plan
581b16120,2026-02-25,10,Endy Muhardin,feat,test,feat: auto-populate tax details when posting tax-related transactions (Phase 12.4)
187f0d777,2026-02-25,9,Endy Muhardin,feat,main-java,feat: add tax detail and document REST API endpoints (Phase 12.3)
05332b2d9,2026-02-25,6,Endy Muhardin,docs,docs,docs: mark Phase 12.2 (tax detail entry UI) as complete in implementation plan
1bd40ca00,2026-02-25,6,Endy Muhardin,feat,main-java,feat: add tax detail entry UI for transaction detail page (Phase 12.2)
49ea3a7a8,2026-02-25,4,Endy Muhardin,docs,docs,docs: mark Phase 12.1 (PPN formula fix) as complete in implementation plan
7a5844b95,2026-02-25,4,Endy Muhardin,fix,docs,fix: update PPN template formulas to DPP Nilai Lain (PMK 131/2024)
911875a37,2026-02-24,22,Endy Muhardin,docs,docs,docs: add Phase 12 (Tax Data Management) to implementation plan
0d32c4dc9,2026-02-24,18,Endy Muhardin,fix,main-java,fix: handle HttpMessageNotReadableException as 400 in RestExceptionHandler
8ed3bfdec,2026-02-24,17,Endy Muhardin,fix,main-java,"fix: handle malformed request body as 400, document VoidReason enum in capabilities"
7ca18ab66,2026-02-24,17,Endy Muhardin,fix,test,"fix: add void transaction API endpoint, fix depreciation template accountHint"
7b991f6da,2026-02-24,15,Endy Muhardin,fix,main-java,"fix: add account ledger API endpoint, dynamically detect cash/bank accounts"
be7159f57,2026-02-24,11,Endy Muhardin,fix,test,fix: pass formula variables through API for DETAILED templates
9843d89c4,2026-02-24,9,Endy Muhardin,fix,templates,fix: truncate transaction list pagination to show neighbors + ellipsis
00c358ebc,2026-02-24,8,Endy Muhardin,fix,test,"fix: replace lineAccountOverrides with accountSlots, add post-time validation"
a7d69e127,2026-02-24,5,Endy Muhardin,fix,build-other,fix: sanitize log input in TransactionApiController journal-preview endpoint
30750c7d8,2026-02-24,5,Endy Muhardin,other,docs,"Revert ""release: 2026.02.5-RELEASE"""
a0135b46e,2026-02-24,5,Endy Muhardin,release,docs,release: 2026.02.5-RELEASE
8dd86cfdf,2026-02-24,4,Endy Muhardin,docs,docs,docs: update user manual with new API endpoints and features
89b433093,2026-02-24,0,Endy Muhardin,feat,main-java,feat: add GET /api/transactions/{id}/journal-preview endpoint
24a862dd5,2026-02-24,0,Endy Muhardin,feat,main-java,feat: add POST /api/drafts for direct DRAFT transaction creation
54376add0,2026-02-24,0,Endy Muhardin,docs,frontend,docs: document draftId naming convention in capabilities.json
dd05066a0,2026-02-24,0,Endy Muhardin,feat,test,feat: add transactionId to DraftResponse after approval
14e610f78,2026-02-24,0,Endy Muhardin,feat,test,feat: expose template lines in GET /api/templates responses
4abfaf7fa,2026-02-24,0,Endy Muhardin,fix,test,fix: flush after clearing account mappings to prevent 409 on re-apply
3b9dee59b,2026-02-23,23,Endy Muhardin,fix,ci,fix: bump CI timeout to 60min and upgrade CodeQL to v4
784904d0b,2026-02-23,22,Endy Muhardin,feat,main-java,feat: add lineAccountOverrides to POST/PUT /api/transactions
d67cd3c0b,2026-02-23,21,Endy Muhardin,fix,main-java,fix: POST/PUT /api/templates now accepts lines via request DTO
1229dcf9b,2026-02-23,21,Endy Muhardin,fix,frontend,fix: remove accountId from template lines in capabilities.json
54befb813,2026-02-23,21,Endy Muhardin,fix,frontend,fix: add missing lines field to POST/PUT templates in capabilities.json
63127dd13,2026-02-23,21,Endy Muhardin,docs,docs,docs: document capabilities.json and correction endpoints in user manual
af583d067,2026-02-23,20,Endy Muhardin,fix,frontend,fix: sync capabilities.json with actual API validation
43498e838,2026-02-23,20,Endy Muhardin,feat,test,feat: add draft and transaction correction API endpoints
0a1a0b00a,2026-02-23,19,Endy Muhardin,fix,main-java,"fix: resolve 20 critical SonarCloud code smells (S6814, S6809, S1192, S3776)"
d9de3f8a8,2026-02-23,8,Endy Muhardin,fix,main-java,fix: use long literal in plusMonths to avoid integer overflow (S2184)
80b20307a,2026-02-23,5,Endy Muhardin,chore,build-other,chore: bump version to 2026.03-SNAPSHOT
7f2e78478,2026-02-23,5,Endy Muhardin,docs,docs,docs: add 2026.02.4-RELEASE notes for migration consolidation
d87c5fdd8,2026-02-22,23,Endy Muhardin,refactor,migrations,refactor: consolidate 11 migrations into 4 domain-based files
02445477f,2026-02-22,18,Endy Muhardin,fix,test,fix: make TagCrudTest idempotent by cleaning up test tags in @BeforeEach
8cafdfd5c,2026-02-22,17,Endy Muhardin,docs,docs,"docs: update status for Phase 10+11 complete, add 2026.02.3 release notes"
db0a63d81,2026-02-22,17,Endy Muhardin,fix,test,fix: remove flaky waitForURL in TagCrudTest.shouldCreateNewTag
cbdaf064d,2026-02-22,15,Endy Muhardin,feat,main-java,feat: implement Phase 11 — Recurring Transactions
cfd8cb000,2026-02-22,8,Endy Muhardin,docs,docs,docs: add user manual section for Phase 10 — Faktur & Tagihan
3d0c1bdea,2026-02-22,5,Endy Muhardin,fix,test,fix: make PaymentTrackingTest and StatementTest resilient in full suite
77f15bee4,2026-02-22,4,Endy Muhardin,test,test,test: add E2E lifecycle tests for invoice and bill with screenshots
6a31b3b7b,2026-02-22,4,Endy Muhardin,feat,templates,feat: implement Phase 10.6 — Customer/Vendor Statements
9e4c97623,2026-02-22,4,Endy Muhardin,feat,main-java,feat: implement Phase 10.4+10.5 — Aging Reports + Payment Tracking
466446176,2026-02-21,23,Endy Muhardin,feat,test,feat: implement Phase 10.3 — Vendor Bill REST API
f8a56b2bc,2026-02-21,22,Endy Muhardin,feat,main-java,feat: implement Phase 10.1+10.2 — Invoice Line Items + Vendor & Bill
08ca0fbb7,2026-02-21,13,Endy Muhardin,docs,build-other,docs: update CLAUDE.md with Phase 10-12 roadmap
1ace7cdd9,2026-02-21,13,Endy Muhardin,docs,docs,"docs: clarify Vendor as dedicated table, not Client type flag"
55293e679,2026-02-21,13,Endy Muhardin,docs,docs,docs: add Vendor Bill API (10.3) for AI-assisted bill entry
a09a2d445,2026-02-21,13,Endy Muhardin,docs,docs,docs: restructure Phase 10 as Invoice & Bill Management
9e0030cee,2026-02-21,13,Endy Muhardin,docs,docs,docs: add Phase 10-12 to implementation plan
4480212bb,2026-02-21,13,Endy Muhardin,docs,docs,"docs: clean up future enhancements, remove marketplace and redundant items"
b74f1327c,2026-02-21,13,Endy Muhardin,docs,docs,docs: remove Budget Management from implementation plan
1b057b4a5,2026-02-21,13,Endy Muhardin,docs,docs,"docs: mark Phase 9 (Analytics & Insights) complete, update phase numbering"
f920f1663,2026-02-21,12,Endy Muhardin,docs,docs,docs: add user manual section 15 (Peringatan/Smart Alerts) with automated screenshots
7bdf5b162,2026-02-21,11,Endy Muhardin,feat,main-java,"feat: implement smart alerts with configurable rules, evaluation, and dashboard widget"
264e01e31,2026-02-21,10,Endy Muhardin,feat,main-java,"feat: implement transaction tags with CRUD, assignment, filtering, and reporting"
f7bb7c74d,2026-02-20,23,Endy Muhardin,fix,ci,fix: add DeviceTokenManagementTest to user manual CI screenshot capture
cb1650933,2026-02-20,23,Endy Muhardin,docs,docs,docs: update user manual with device token management self-service page
599431ec5,2026-02-20,23,Endy Muhardin,feat,test,feat: add self-service device token management UI at /settings/devices
45ed7f2b9,2026-02-20,22,Endy Muhardin,docs,docs,docs: update CLAUDE.md and implementation plan for completed API pagination
7eb3035d9,2026-02-20,22,Endy Muhardin,feat,main-java,feat: add pagination to analysis reports and drafts API endpoints
362836e89,2026-02-20,21,Endy Muhardin,fix,main-java,fix: resolve GitHub code scanning alerts
c67db4320,2026-02-20,21,Endy Muhardin,feat,frontend,feat: add static /api/capabilities.json for AI assistant discovery
c04473908,2026-02-20,12,Endy Muhardin,fix,seed-data,fix: make seed pack company_config header-only to prevent test interference
1b34fea8c,2026-02-20,10,Endy Muhardin,fix,deploy,fix: upgrade minimatch to resolve ReDoS vulnerability (CVE-2026-26996)
6c2b0df73,2026-02-20,9,Endy Muhardin,fix,templates,fix: resolve SonarCloud reliability issues in HTML templates
93110b088,2026-02-19,20,Endy Muhardin,chore,build-other,chore: prepare next development iteration 2026.02-SNAPSHOT
0d77b9e83,2026-02-19,20,Endy Muhardin,release,docs,release: bump version to 2026.02.2-RELEASE
d5fbc4cbf,2026-02-19,19,Endy Muhardin,refactor,frontend,refactor: externalize per-client theme assets to filesystem
b68998272,2026-02-19,19,Endy Muhardin,fix,frontend,fix: use white fills for tazkia sidebar logo on dark background
db930d92b,2026-02-19,19,Endy Muhardin,fix,main-java,fix: permit /themes/** static resources in Spring Security
48285cec6,2026-02-19,18,Endy Muhardin,feat,frontend,feat: add per-client theming via application.properties
28dfdc883,2026-02-19,4,Endy Muhardin,feat,test,feat: add device session management UI to user detail page
900c0df93,2026-02-18,23,Endy Muhardin,test,test,test: add functional tests for POST /api/data-import endpoint
b8d1887d9,2026-02-18,22,Endy Muhardin,fix,deploy,fix: upgrade tar override to >=7.5.8 to resolve CVE hardlink symlink escape
209f37006,2026-02-18,22,Endy Muhardin,feat,docs,feat: expose data import as API endpoint for AI-driven client onboarding
212e6bcd0,2026-02-18,18,Endy Muhardin,feat,main-java,feat: add transaction list/detail/post API endpoints
8419b6194,2026-02-18,16,Endy Muhardin,chore,build-other,chore: prepare next development iteration 2026.02-SNAPSHOT
19a41f769,2026-02-18,16,Endy Muhardin,release,docs,release: bump version to 2026.02.1-RELEASE
b28b55c72,2026-02-18,16,Endy Muhardin,release,docs,release: bump version to 2026.03-RELEASE
e3b92ed11,2026-02-18,15,Endy Muhardin,fix,test,fix: prevent duplicate section rendering in user manual generator
dfefbc6fe,2026-02-18,13,Endy Muhardin,docs,test,docs: add screenshots for AI metadata in template UI
f062ba27c,2026-02-18,13,Endy Muhardin,docs,docs,docs: update user manual with AI metadata UI instructions
dc898985e,2026-02-18,11,Endy Muhardin,feat,templates,feat: add AI metadata fields to template form and detail view
4320302f6,2026-02-18,8,Endy Muhardin,feat,deploy,feat: add AI semantic metadata to journal templates
c5b6e6057,2026-02-18,8,Endy Muhardin,docs,docs,docs: update ops guide to match production setup and add Flyway troubleshooting
989cf8a37,2026-02-18,7,Endy Muhardin,chore,build-other,chore: prepare next development iteration 2026.02-SNAPSHOT
650d95210,2026-02-18,7,Endy Muhardin,release,docs,release: bump version to 2026.02-RELEASE
1fee8bb2a,2026-02-17,23,Endy Muhardin,fix,test,fix: move Lampiran section to end of user manual
9e98f9455,2026-02-17,23,Endy Muhardin,fix,docs,fix: add h4/h5/hr CSS styles and format per-industry metrics as lists
a9da9a9b6,2026-02-17,22,Endy Muhardin,fix,docs,fix: restore inline screenshots in AI chapter for proper text flow
7bd9d44c6,2026-02-17,21,Endy Muhardin,fix,ci,fix: include all analysis report tests in publish-manual CI workflow
d77c9ea7a,2026-02-17,20,Endy Muhardin,fix,test,fix: resolve broken screenshot links in user manual HTML
50ec24846,2026-02-17,16,Endy Muhardin,feat,test,feat: add AI analysis report publishing with per-industry KPIs
569f36c94,2026-02-17,14,Endy Muhardin,docs,docs,docs(manual): add financial analysis API section to AI chapter
8821c8c01,2026-02-17,14,Endy Muhardin,feat,main-java,feat(api): add read-only financial analysis API for AI tools
ffac21114,2026-02-17,13,Endy Muhardin,docs,build-other,docs: update CLAUDE.md for Apache-2.0 license and Phase 9 completion
1fb9f74c7,2026-02-17,12,Endy Muhardin,chore,build-other,chore: change license from AGPL-3.0 to Apache License 2.0
56f2e3693,2026-02-17,12,Endy Muhardin,fix,test,fix(manual): register bank reconciliation chapter in UserManualGenerator
c67bc3780,2026-02-17,11,Endy Muhardin,fix,build-other,fix(spotbugs): sanitize log params in BankReconciliationService
0d62f3633,2026-02-17,10,Endy Muhardin,docs,docs,docs(phase9): add bank reconciliation user manual with screenshots
7e2a25308,2026-02-17,9,Endy Muhardin,feat,main-java,"feat(phase9): implement bank reconciliation (import, matching, reports)"
de5699f47,2026-02-17,5,Endy Muhardin,fix,main-java,fix(sonar): resolve 46 SonarCloud issues across production and test code
03711d756,2026-02-16,23,Endy Muhardin,fix,test,fix(ci): fix flaky AiTransactionFlowTest and remove fork timeout
01f863bb1,2026-02-16,22,Endy Muhardin,fix,ci,fix(ci): increase test timeout to 45 min for full suite on CI runners
94390d393,2026-02-16,21,Endy Muhardin,fix,build-other,fix(ci): redirect test output to file to prevent Maven/Surefire pipe deadlock
96f412dd0,2026-02-16,16,Endy Muhardin,fix,test,fix(ci): fail-fast when ZAP API becomes unresponsive to prevent CI hang
c8515ff84,2026-02-16,8,Endy Muhardin,fix,test,fix(ci): add timeouts to ZAP API calls to prevent indefinite blocking in CI
7f261ac90,2026-02-16,7,Endy Muhardin,fix,build-other,fix(ci): add surefire timeout and test-level timeout to prevent Maven hang
2efd2469c,2026-02-16,4,Endy Muhardin,fix,test,fix(ci): share single ZAP container across DAST tests to prevent Maven hang
4d88a2ac4,2026-02-15,23,Endy Muhardin,fix,main-java,fix: eliminate all ERROR log noise from test suite (626 → 0)
268f2840d,2026-02-15,10,Endy Muhardin,fix,test,fix(test): add required component to BOM create tests
337ff94bf,2026-02-15,10,Endy Muhardin,fix,templates,fix: remove non-existent company.city reference in depreciation print
f9a33460e,2026-02-15,10,Endy Muhardin,fix,main-java,fix: break Client-Project circular reference for Jackson serialization
aa50008cd,2026-02-15,10,Endy Muhardin,fix,templates,fix: add missing bank-table fragment and bank-accounts templates
2f803a90e,2026-02-15,10,Endy Muhardin,fix,test,fix(test): add journalNumber and transactionNumber to ServiceReportsTest
b3d514c23,2026-02-15,8,Endy Muhardin,fix,main-java,fix: assign journalNumber when posting pre-existing journal entries
606de1dc1,2026-02-14,21,Endy Muhardin,fix,ci,fix(ci): skip JaCoCo to isolate Maven hang issue
767607e3d,2026-02-14,15,Endy Muhardin,fix,ci,fix(ci): remove parallel test execution causing Maven hang
20efa94d2,2026-02-14,14,Endy Muhardin,fix,build-other,fix(deps): prevent dependency-check from failing build on analysis errors
32452e780,2026-02-14,8,Endy Muhardin,fix,ci,fix(ci): increase memory and parallelize tests to prevent timeout
d34e64bb6,2026-02-13,21,Endy Muhardin,fix,ci,fix(ci): disable fail-on-error for test reporter to investigate flaky failures
ab0d01ad7,2026-02-13,18,Endy Muhardin,fix,docs,fix(manual): correct Starbucks coffee expense categorization
0dd324c5a,2026-02-13,7,Endy Muhardin,fix,deploy,fix(deps): update tar to 7.5.7 to resolve security vulnerabilities
44de14070,2026-02-13,0,Endy Muhardin,docs,docs,docs(academic): add analysis of paper publication opportunities
b953059fd,2026-02-12,23,Endy Muhardin,fix,main-java,fix(sonar): resolve 7 SonarCloud code quality issues
d3991aa98,2026-02-12,22,Endy Muhardin,fix,test,fix(manual): return full content when section title matches H1
b3c4f6730,2026-02-12,20,Endy Muhardin,fix,test,fix(manual): remove duplicate AI section content
770b4a708,2026-02-12,19,Endy Muhardin,fix,test,fix(manual): correct screenshot paths for AI transaction documentation
e4b83e596,2026-02-12,17,Endy Muhardin,fix,build-other,fix(security): resolve SpotBugs and Dependabot vulnerabilities
efbb418aa,2026-02-12,16,Endy Muhardin,chore,test,chore(manual): register AI assistance section in user manual generator
60fbf98ec,2026-02-12,15,Endy Muhardin,feat,docs,feat(api): add AI-assisted transaction posting v2 with direct posting
ed6754529,2026-02-12,12,Endy Muhardin,feat,main-java,feat(api): add OAuth 2.0 Device Flow and AI-assisted transaction API
2964bd151,2026-02-03,11,Endy Muhardin,fix,test,fix(sonar): resolve 49 SonarCloud issues in test files
25ba303ea,2026-01-25,16,Endy Muhardin,fix,test,fix(test): add @Transactional to prevent LazyInitializationException
c4cd5fc79,2026-01-19,17,Endy Muhardin,test,test,test(coverage): add functional tests for controller APIs and services
37b4e7a84,2026-01-19,10,Endy Muhardin,fix,test,fix(test): ensure tests create own data instead of skipping
9cf09a268,2026-01-19,5,Endy Muhardin,test,test,test(coverage): add functional tests for low-coverage services
5c0a0938c,2026-01-17,22,Endy Muhardin,fix,deploy,fix(security): upgrade Pulumi dependencies and fix tar vulnerability
d287ea07a,2026-01-17,22,Endy Muhardin,fix,build-other,fix(security): upgrade npm to 11.7.0 to resolve tar vulnerability
2803e7632,2026-01-17,21,Endy Muhardin,fix,test,fix(sonar): resolve BLOCKER and MAJOR issues
5cb232ece,2026-01-17,18,Endy Muhardin,test,test,test(coverage): add unit tests to reach 75% coverage target
0cb6b2f25,2026-01-17,14,Endy Muhardin,test,test,test(coverage): add exception class tests
f9c92d152,2026-01-17,14,Endy Muhardin,docs,docs,docs(user-manual): add missing screenshots to industry guides
3a34c9f6d,2026-01-17,10,Endy Muhardin,fix,main-java,fix(db): resolve PostgreSQL null parameter type inference in queries
ba774a0d9,2026-01-16,20,Endy Muhardin,fix,main-java,fix(tests): resolve multiple functional test failures
61dac1a95,2026-01-16,19,Endy Muhardin,fix,main-java,fix: lookup manual entry template by name instead of hardcoded UUID
092290861,2026-01-16,17,Endy Muhardin,test,test,test(coverage): improve FixedAssetController coverage 37% → 62%
74605ab28,2026-01-16,17,Endy Muhardin,test,test,test(coverage): improve BillOfMaterialController coverage 35% → 94%
6c22dfcd5,2026-01-16,16,Endy Muhardin,test,test,test(coverage): improve DataExportController coverage from 32% to 79%
20d2a6360,2026-01-16,16,Endy Muhardin,test,test,test(coverage): improve DraftTransactionController coverage from 31% to 65%
4afe80d06,2026-01-16,14,Endy Muhardin,test,test,test(coverage): improve ProductionOrderController coverage from 30% to 80%
2c6734453,2026-01-16,11,Endy Muhardin,test,test,test(coverage): improve SelfServiceController coverage from 25% to 74%
aa8730348,2026-01-16,11,Endy Muhardin,test,test,test(coverage): improve DocumentController coverage from 19% to 47%
950fb419e,2026-01-16,10,Endy Muhardin,fix,test,fix(test): handle JavaScript confirm dialog in DataImportController tests
ae926ec38,2026-01-16,6,Endy Muhardin,fix,test,fix(test): use specific button IDs in form submission tests
ce91de7dd,2026-01-15,4,Endy Muhardin,test,test,test(coverage): expand functional tests for multiple controllers
727244e43,2026-01-14,21,Endy Muhardin,test,test,test(coverage): expand BillOfMaterialController functional tests
ae3a81e78,2026-01-14,18,Endy Muhardin,test,test,test(coverage): fix URL paths and expand FixedAssetController tests
8c55aa85d,2026-01-14,17,Endy Muhardin,test,test,test(coverage): expand functional tests for controllers
4fd276449,2026-01-14,14,Endy Muhardin,fix,test,fix(test): use unique sequences in payment term and milestone tests
0127f4186,2026-01-14,13,Endy Muhardin,test,test,test(coverage): expand functional tests for low-coverage controllers
a8b9c005a,2026-01-14,7,Endy Muhardin,test,test,test(coverage): improve test coverage and fix test issues
c7f8b02e5,2026-01-13,4,Endy Muhardin,fix,test,fix(test): resolve CI failures in MilestoneController and PaymentTerm tests
1b6e558b7,2026-01-13,4,Endy Muhardin,test,test,test(coverage): add validation and export functional tests
b2d9686af,2026-01-12,21,Endy Muhardin,test,test,test(functional): fix @Nested test detection and add controller tests
c7a1eb0bb,2026-01-12,8,Endy Muhardin,test,test,test(coverage): add functional and service tests to improve coverage to 68%
6a4b1ba04,2026-01-10,16,Endy Muhardin,test,test,test(coverage): add 240 tests to improve coverage from 49% to 55%
09859de89,2026-01-10,10,Endy Muhardin,docs,build-other,"docs(readme): add CI, coverage, and quality badges"
cb0685d5a,2026-01-10,10,Endy Muhardin,other,build-other,config(sonar): simplify app.css exclusion pattern
8cf16207d,2026-01-10,10,Endy Muhardin,fix,build-other,fix(code-quality): resolve final 3 SonarCloud issues
73a805820,2026-01-10,10,Endy Muhardin,fix,main-java,fix(code-quality): resolve remaining SonarCloud issues
53a253b23,2026-01-10,7,Endy Muhardin,refactor,frontend,refactor(code-quality): add radix to parseInt and use List.of
509a2fda3,2026-01-10,7,Endy Muhardin,refactor,main-java,refactor(java): replace Arrays.asList with List.of
8331ac38d,2026-01-10,7,Endy Muhardin,refactor,templates,refactor(js): remove console.log statements from production code
7dc1743b3,2026-01-10,7,Endy Muhardin,refactor,templates,refactor(js): replace var with const declarations
571dcabc3,2026-01-10,7,Endy Muhardin,fix,templates,fix(a11y): improve color contrast in print templates
44cdf4df9,2026-01-10,7,Endy Muhardin,refactor,main-java,refactor(code-quality): fix multiple SonarCloud issues
359fcd6e0,2026-01-10,6,Endy Muhardin,other,build-other,config(sonar): exclude SQL migrations from analysis
fc04886ae,2026-01-10,5,Endy Muhardin,refactor,templates,refactor(code-quality): fix S1871 duplicate code in template form
4f1850113,2026-01-10,4,Endy Muhardin,refactor,test,refactor(code-quality): fix SonarCloud issues and improve test coverage
ed11508aa,2026-01-09,23,Endy Muhardin,refactor,build-other,refactor(code-quality): fix S5778 and configure rule exclusions
0a8e66c96,2026-01-09,23,Endy Muhardin,other,build-other,config(sonar): ignore Oracle-specific PL/SQL rules for PostgreSQL
600e8f1e8,2026-01-09,23,Endy Muhardin,refactor,main-java,refactor(code-quality): fix S1135 TODO comments and suppress S2925
7c2e920b8,2026-01-09,22,Endy Muhardin,refactor,main-java,refactor(code-quality): fix additional SonarCloud code smells
bb8d81987,2026-01-09,22,Endy Muhardin,refactor,templates,refactor(code-quality): fix additional SonarCloud issues
d2847f5fa,2026-01-09,22,Endy Muhardin,refactor,test,refactor(code-quality): fix SonarCloud bugs and code smells
fc4a18808,2026-01-09,21,Endy Muhardin,refactor,test,refactor(code-quality): fix S7158 and S5786 code smells
09b69dfb3,2026-01-09,21,Endy Muhardin,refactor,main-java,refactor(code-quality): fix remaining S7467 unused exception patterns
a6a8d850d,2026-01-09,21,Endy Muhardin,refactor,test,refactor(code-quality): fix S5841 test emptiness before assertion
54399593b,2026-01-09,21,Endy Muhardin,refactor,main-java,refactor(code-quality): fix S1125 and S1488 code smells
47fdedd01,2026-01-09,20,Endy Muhardin,refactor,templates,refactor(code-quality): fix S7764 replace window with globalThis
44630b845,2026-01-09,20,Endy Muhardin,refactor,test,refactor(code-quality): fix S5853 join assertion chains
1e45dacf1,2026-01-09,20,Endy Muhardin,refactor,main-java,refactor(code-quality): fix S1640 EnumMap and S7467 unnamed patterns
1bc92fe5d,2026-01-09,20,Endy Muhardin,refactor,main-java,refactor(code-quality): fix S1659 variable declarations
3ff67f313,2026-01-09,19,Endy Muhardin,refactor,main-java,refactor(code-quality): extract nested try blocks to methods (S1141)
4ec04b7b5,2026-01-09,19,Endy Muhardin,refactor,main-java,refactor(code-quality): merge collapsible if statements (S1066)
f371a7bf4,2026-01-09,19,Endy Muhardin,refactor,test,refactor(code-quality): fix S5786 JUnit5 visibility issues
1fb0bc538,2026-01-09,19,Endy Muhardin,refactor,main-java,refactor(code-quality): fix additional SonarCloud issues
793c9693e,2026-01-09,19,Endy Muhardin,refactor,main-java,refactor(code-quality): fix SonarCloud code quality issues
1d8458547,2026-01-09,16,Endy Muhardin,refactor,main-java,refactor(code-quality): fix remaining S1192 string duplication issues
84af390af,2026-01-09,12,Endy Muhardin,refactor,main-java,refactor(code-quality): add YEAR_SUFFIX constant in FiscalYearClosingService
9a349a23f,2026-01-09,10,Endy Muhardin,refactor,main-java,refactor(code-quality): remove duplicate constants in controllers
d2847d41f,2026-01-09,8,Endy Muhardin,refactor,main-java,refactor(code-quality): fix S1192 string duplication issues
e8fcfd248,2026-01-09,6,Endy Muhardin,refactor,main-java,refactor(code-quality): extract string constants for S1192 compliance
752c348f4,2026-01-09,4,Endy Muhardin,refactor,main-java,refactor(code-quality): extract string constants for SonarCloud S1192
80856873a,2026-01-08,18,Endy Muhardin,chore,main-java,chore(sonar): suppress S1192 for DataImportService table/file names
dc3cdf901,2026-01-08,17,Endy Muhardin,refactor,main-java,refactor(controller): extract constants for Transaction and JournalTemplate controllers
1bc1d43a8,2026-01-08,17,Endy Muhardin,refactor,main-java,refactor(controller): extract constants for Project and Invoice controllers
687fb4826,2026-01-08,15,Endy Muhardin,refactor,main-java,refactor(controller): extract constants for PaymentTerm and Client controllers
ee99908c3,2026-01-08,15,Endy Muhardin,refactor,main-java,refactor(controller): extract constants for ReportController
a76d76148,2026-01-08,15,Endy Muhardin,refactor,main-java,refactor(controller): extract constants for MilestoneController
79a6e7410,2026-01-08,15,Endy Muhardin,refactor,main-java,refactor(controllers): extract constants for employee and salary components
d36477a30,2026-01-08,15,Endy Muhardin,refactor,main-java,refactor(services): extract constants for string duplications
433173c74,2026-01-08,14,Endy Muhardin,fix,templates,fix(ui): resolve S7740 JavaScript this-assignment issue
b6d2d21d2,2026-01-08,14,Endy Muhardin,refactor,main-java,refactor(controllers): extract constants for category controllers
4bd3ac4c0,2026-01-08,14,Endy Muhardin,refactor,main-java,refactor(controllers): extract more constants for string duplications
fff6596f8,2026-01-08,14,Endy Muhardin,fix,main-java,fix(security): resolve S2229 transactional compatibility issues
dee1b93ad,2026-01-08,13,Endy Muhardin,refactor,main-java,refactor(controllers): extract constants for string duplications
